Post;Huishouden;Woonsituatie;Inkomen;Jaar;Bedrag;Percentage inkomen
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;1;2019;;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;1;2019;1.059;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;1;2019;229;0,215882908
 gas;Alleenstaand;gemiddelde huur;1;2019;78;0,073937677
 elektriciteit;Alleenstaand;gemiddelde huur;1;2019;32;0,030594901
 water;Alleenstaand;gemiddelde huur;1;2019;9;0,00870255
 lokale lasten;Alleenstaand;gemiddelde huur;1;2019;44;0,041155178
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;1;2019;55;0,051935788
 verzekeringen;Alleenstaand;gemiddelde huur;1;2019;170;0,160560277
 onderwijs;Alleenstaand;gemiddelde huur;1;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;1;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;1;2019;2;0,001463645
 vervoer;Alleenstaand;gemiddelde huur;1;2019;16;0,015505194
VASTE LASTEN;Alleenstaand;gemiddelde huur;1;2019;635;0,599738118
 kleding en schoenen;Alleenstaand;gemiddelde huur;1;2019;53;0,049575071
 inventaris;Alleenstaand;gemiddelde huur;1;2019;65;0,061467579
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;1;2019;23;0,021822871
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;1;2019;38;0,036103242
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;1;2019;0;0
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;1;2019;179;0,168968763
 voeding;Alleenstaand;gemiddelde huur;1;2019;214;0,202077432
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;1;2019;30;0,028696884
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;1;2019;244;0,230774315
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;1;2019;;0
wit1;Alleenstaand;gemiddelde huur;1;2019;;0
wit2;Alleenstaand;gemiddelde huur;1;2019;;0
wit3;Alleenstaand;gemiddelde huur;1;2019;;0
wit4;Alleenstaand;gemiddelde huur;1;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;2;2019;;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;2;2019;1.152;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;2;2019;229;0,198454861
 gas;Alleenstaand;gemiddelde huur;2;2019;78;0,06796875
 elektriciteit;Alleenstaand;gemiddelde huur;2;2019;32;0,028125
 water;Alleenstaand;gemiddelde huur;2;2019;9;0,008
 lokale lasten;Alleenstaand;gemiddelde huur;2;2019;44;0,037832755
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;2;2019;55;0,047743056
 verzekeringen;Alleenstaand;gemiddelde huur;2;2019;170;0,14759838
 onderwijs;Alleenstaand;gemiddelde huur;2;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;2;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;2;2019;21;0,018342014
 vervoer;Alleenstaand;gemiddelde huur;2;2019;24;0,020894097
VASTE LASTEN;Alleenstaand;gemiddelde huur;2;2019;662;0,574958912
 kleding en schoenen;Alleenstaand;gemiddelde huur;2;2019;53;0,045572917
 inventaris;Alleenstaand;gemiddelde huur;2;2019;65;0,056505353
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;2;2019;23;0,020061128
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;2;2019;38;0,033188657
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;2;2019;40;0,035
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;2;2019;219;0,190328056
 voeding;Alleenstaand;gemiddelde huur;2;2019;214;0,185763889
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;2;2019;56;0,048880208
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;2;2019;270;0,234644097
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;2;2019;;0
wit1;Alleenstaand;gemiddelde huur;2;2019;;0
wit2;Alleenstaand;gemiddelde huur;2;2019;;0
wit3;Alleenstaand;gemiddelde huur;2;2019;;0
wit4;Alleenstaand;gemiddelde huur;2;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;1500;2019;1.500;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;1500;2019;1.500;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;1500;2019;520;0,346666667
 gas;Alleenstaand;gemiddelde huur;1500;2019;79;0,052886945
 elektriciteit;Alleenstaand;gemiddelde huur;1500;2019;33;0,021884253
 water;Alleenstaand;gemiddelde huur;1500;2019;9;0,006224854
 lokale lasten;Alleenstaand;gemiddelde huur;1500;2019;44;0,029055556
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;1500;2019;57;0,037934514
 verzekeringen;Alleenstaand;gemiddelde huur;1500;2019;171;0,114248584
 onderwijs;Alleenstaand;gemiddelde huur;1500;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;1500;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;1500;2019;24;0,01616882
 vervoer;Alleenstaand;gemiddelde huur;1500;2019;42;0,028280599
VASTE LASTEN;Alleenstaand;gemiddelde huur;1500;2019;980;0,65335079
 kleding en schoenen;Alleenstaand;gemiddelde huur;1500;2019;55;0,036446313
 inventaris;Alleenstaand;gemiddelde huur;1500;2019;66;0,044016783
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;1500;2019;23;0,015423195
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;1500;2019;38;0,025488889
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;1500;2019;60;0,040038342
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;1500;2019;242;0,161413521
 voeding;Alleenstaand;gemiddelde huur;1500;2019;214;0,142666667
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;1500;2019;64;0,042745146
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;1500;2019;278;0,185411812
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;1500;2019;0;0
wit1;Alleenstaand;gemiddelde huur;1500;2019;;0
wit2;Alleenstaand;gemiddelde huur;1500;2019;;0
wit3;Alleenstaand;gemiddelde huur;1500;2019;;0
wit4;Alleenstaand;gemiddelde huur;1500;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;1750;2019;1.750;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;1750;2019;1.750;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;1750;2019;551;0,314857143
 gas;Alleenstaand;gemiddelde huur;1750;2019;83;0,047169998
 elektriciteit;Alleenstaand;gemiddelde huur;1750;2019;34;0,01951862
 water;Alleenstaand;gemiddelde huur;1750;2019;10;0,005551963
 lokale lasten;Alleenstaand;gemiddelde huur;1750;2019;44;0,024904762
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;1750;2019;63;0,036117418
 verzekeringen;Alleenstaand;gemiddelde huur;1750;2019;177;0,101179939
 onderwijs;Alleenstaand;gemiddelde huur;1750;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;1750;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;1750;2019;36;0,020756198
 vervoer;Alleenstaand;gemiddelde huur;1750;2019;112;0,063884515
VASTE LASTEN;Alleenstaand;gemiddelde huur;1750;2019;1.109;0,633940555
 kleding en schoenen;Alleenstaand;gemiddelde huur;1750;2019;65;0,036922021
 inventaris;Alleenstaand;gemiddelde huur;1750;2019;71;0,040811396
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;1750;2019;24;0,0136811
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;1750;2019;38;0,021847619
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;1750;2019;137;0,078549852
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;1750;2019;336;0,191811988
 voeding;Alleenstaand;gemiddelde huur;1750;2019;214;0,122285714
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;1750;2019;91;0,052102577
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;1750;2019;305;0,174388291
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;1750;2019;0;0
wit1;Alleenstaand;gemiddelde huur;1750;2019;;0
wit2;Alleenstaand;gemiddelde huur;1750;2019;;0
wit3;Alleenstaand;gemiddelde huur;1750;2019;;0
wit4;Alleenstaand;gemiddelde huur;1750;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;2000;2019;2.000;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;2000;2019;2.000;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;2000;2019;555;0,2775
 gas;Alleenstaand;gemiddelde huur;2000;2019;85;0,04265836
 elektriciteit;Alleenstaand;gemiddelde huur;2000;2019;35;0,017651735
 water;Alleenstaand;gemiddelde huur;2000;2019;10;0,005020938
 lokale lasten;Alleenstaand;gemiddelde huur;2000;2019;44;0,021791667
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;2000;2019;69;0,034580031
 verzekeringen;Alleenstaand;gemiddelde huur;2000;2019;184;0,092071696
 onderwijs;Alleenstaand;gemiddelde huur;2000;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;2000;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;2000;2019;50;0,025029926
 vervoer;Alleenstaand;gemiddelde huur;2000;2019;189;0,094477419
VASTE LASTEN;Alleenstaand;gemiddelde huur;2000;2019;1.222;0,610781771
 kleding en schoenen;Alleenstaand;gemiddelde huur;2000;2019;78;0,038788732
 inventaris;Alleenstaand;gemiddelde huur;2000;2019;80;0,039793647
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;2000;2019;26;0,012846926
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;2000;2019;38;0,019116667
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;2000;2019;225;0,112614311
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;2000;2019;446;0,223160284
 voeding;Alleenstaand;gemiddelde huur;2000;2019;214;0,107
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;2000;2019;118;0,059174545
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;2000;2019;332;0,166174545
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;2000;2019;0;0
wit1;Alleenstaand;gemiddelde huur;2000;2019;;0
wit2;Alleenstaand;gemiddelde huur;2000;2019;;0
wit3;Alleenstaand;gemiddelde huur;2000;2019;;0
wit4;Alleenstaand;gemiddelde huur;2000;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;2250;2019;2.250;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;2250;2019;2.235;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;2250;2019;579;0,257333333
 gas;Alleenstaand;gemiddelde huur;2250;2019;87;0,038666667
 elektriciteit;Alleenstaand;gemiddelde huur;2250;2019;36;0,016
 water;Alleenstaand;gemiddelde huur;2250;2019;10;0,004551111
 lokale lasten;Alleenstaand;gemiddelde huur;2250;2019;44;0,01937037
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;2250;2019;73;0,032580889
 verzekeringen;Alleenstaand;gemiddelde huur;2250;2019;191;0,08472037
 onderwijs;Alleenstaand;gemiddelde huur;2250;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;2250;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;2250;2019;62;0,027444444
 vervoer;Alleenstaand;gemiddelde huur;2250;2019;253;0,11256
VASTE LASTEN;Alleenstaand;gemiddelde huur;2250;2019;1.335;0,593227185
 kleding en schoenen;Alleenstaand;gemiddelde huur;2250;2019;90;0,039958
 inventaris;Alleenstaand;gemiddelde huur;2250;2019;88;0,039155556
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;2250;2019;28;0,012364444
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;2250;2019;38;0,016992593
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;2250;2019;300;0,133353333
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;2250;2019;544;0,241823926
 voeding;Alleenstaand;gemiddelde huur;2250;2019;218;0,096832444
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;2250;2019;139;0,061658667
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;2250;2019;357;0,158491111
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;2250;2019;15;0
wit1;Alleenstaand;gemiddelde huur;2250;2019;;0
wit2;Alleenstaand;gemiddelde huur;2250;2019;;0
wit3;Alleenstaand;gemiddelde huur;2250;2019;;0
wit4;Alleenstaand;gemiddelde huur;2250;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;2500;2019;2.500;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;2500;2019;2.368;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;2500;2019;623;0,2492
 gas;Alleenstaand;gemiddelde huur;2500;2019;87;0,0348
 elektriciteit;Alleenstaand;gemiddelde huur;2500;2019;36;0,0144
 water;Alleenstaand;gemiddelde huur;2500;2019;10;0,004096
 lokale lasten;Alleenstaand;gemiddelde huur;2500;2019;44;0,017433333
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;2500;2019;74;0,0296228
 verzekeringen;Alleenstaand;gemiddelde huur;2500;2019;194;0,077485333
 onderwijs;Alleenstaand;gemiddelde huur;2500;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;2500;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;2500;2019;67;0,0266
 vervoer;Alleenstaand;gemiddelde huur;2500;2019;278;0,111204
VASTE LASTEN;Alleenstaand;gemiddelde huur;2500;2019;1.412;0,564841467
 kleding en schoenen;Alleenstaand;gemiddelde huur;2500;2019;96;0,0384622
 inventaris;Alleenstaand;gemiddelde huur;2500;2019;93;0,03724
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;2500;2019;29;0,011728
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;2500;2019;38;0,015293333
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;2500;2019;330;0,132018
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;2500;2019;587;0,234741533
 voeding;Alleenstaand;gemiddelde huur;2500;2019;225;0,0898492
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;2500;2019;144;0,0576928
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;2500;2019;369;0,147542
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;2500;2019;132;0
wit1;Alleenstaand;gemiddelde huur;2500;2019;;0
wit2;Alleenstaand;gemiddelde huur;2500;2019;;0
wit3;Alleenstaand;gemiddelde huur;2500;2019;;0
wit4;Alleenstaand;gemiddelde huur;2500;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;3000;2019;3.000;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;3000;2019;2.637;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;3000;2019;716;0,238666667
 gas;Alleenstaand;gemiddelde huur;3000;2019;87;0,029
 elektriciteit;Alleenstaand;gemiddelde huur;3000;2019;36;0,012
 water;Alleenstaand;gemiddelde huur;3000;2019;10;0,003413333
 lokale lasten;Alleenstaand;gemiddelde huur;3000;2019;44;0,014527778
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;3000;2019;76;0,025185667
 verzekeringen;Alleenstaand;gemiddelde huur;3000;2019;200;0,066632778
 onderwijs;Alleenstaand;gemiddelde huur;3000;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;3000;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;3000;2019;76;0,025333333
 vervoer;Alleenstaand;gemiddelde huur;3000;2019;328;0,10917
VASTE LASTEN;Alleenstaand;gemiddelde huur;3000;2019;1.572;0,523929556
 kleding en schoenen;Alleenstaand;gemiddelde huur;3000;2019;109;0,0362185
 inventaris;Alleenstaand;gemiddelde huur;3000;2019;103;0,034366667
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;3000;2019;32;0,010773333
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;3000;2019;38;0,012744444
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;3000;2019;390;0,130015
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;3000;2019;672;0,224117944
 voeding;Alleenstaand;gemiddelde huur;3000;2019;238;0,079374333
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;3000;2019;155;0,051744
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;3000;2019;393;0,131118333
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;3000;2019;363;0
wit1;Alleenstaand;gemiddelde huur;3000;2019;;0
wit2;Alleenstaand;gemiddelde huur;3000;2019;;0
wit3;Alleenstaand;gemiddelde huur;3000;2019;;0
wit4;Alleenstaand;gemiddelde huur;3000;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;3500;2019;3.500;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;3500;2019;2.860;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;3500;2019;762;0,217714286
 gas;Alleenstaand;gemiddelde huur;3500;2019;87;0,024857143
 elektriciteit;Alleenstaand;gemiddelde huur;3500;2019;36;0,010285714
 water;Alleenstaand;gemiddelde huur;3500;2019;10;0,002925714
 lokale lasten;Alleenstaand;gemiddelde huur;3500;2019;44;0,012452381
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;3500;2019;77;0,022016286
 verzekeringen;Alleenstaand;gemiddelde huur;3500;2019;206;0,058880952
 onderwijs;Alleenstaand;gemiddelde huur;3500;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;3500;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;3500;2019;86;0,024428571
 vervoer;Alleenstaand;gemiddelde huur;3500;2019;377;0,107717143
VASTE LASTEN;Alleenstaand;gemiddelde huur;3500;2019;1.684;0,48127819
 kleding en schoenen;Alleenstaand;gemiddelde huur;3500;2019;121;0,034615857
 inventaris;Alleenstaand;gemiddelde huur;3500;2019;113;0,032314286
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;3500;2019;35;0,010091429
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;3500;2019;38;0,01092381
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;3500;2019;450;0,128584286
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;3500;2019;758;0,216529667
 voeding;Alleenstaand;gemiddelde huur;3500;2019;252;0,071892286
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;3500;2019;166;0,047494857
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;3500;2019;418;0,119387143
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;3500;2019;640;0
wit1;Alleenstaand;gemiddelde huur;3500;2019;;0
wit2;Alleenstaand;gemiddelde huur;3500;2019;;0
wit3;Alleenstaand;gemiddelde huur;3500;2019;;0
wit4;Alleenstaand;gemiddelde huur;3500;2019;;0
TOTAAL INKOMEN;Alleenstaand;1,5 keer gemiddelde huur;1;2019;;0
TOTAAL UITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;1;2019;1.173;0
 huur/hypotheek;Alleenstaand;1,5 keer gemiddelde huur;1;2019;343;0,292324345
 gas;Alleenstaand;1,5 keer gemiddelde huur;1;2019;78;0,066745389
 elektriciteit;Alleenstaand;1,5 keer gemiddelde huur;1;2019;32;0,027618782
 water;Alleenstaand;1,5 keer gemiddelde huur;1;2019;9;0,007856009
 lokale lasten;Alleenstaand;1,5 keer gemiddelde huur;1;2019;44;0,037151808
 telefoon, televisie, internet;Alleenstaand;1,5 keer gemiddelde huur;1;2019;55;0,046883734
 verzekeringen;Alleenstaand;1,5 keer gemiddelde huur;1;2019;170;0,144941775
 onderwijs;Alleenstaand;1,5 keer gemiddelde huur;1;2019;0;0
 kinderopvang;Alleenstaand;1,5 keer gemiddelde huur;1;2019;0;0
 contributies en abonnementen;Alleenstaand;1,5 keer gemiddelde huur;1;2019;2;0,001321269
 vervoer;Alleenstaand;1,5 keer gemiddelde huur;1;2019;16;0,013996926
VASTE LASTEN;Alleenstaand;1,5 keer gemiddelde huur;1;2019;749;0,638840037
 kleding en schoenen;Alleenstaand;1,5 keer gemiddelde huur;1;2019;53;0,044752655
 inventaris;Alleenstaand;1,5 keer gemiddelde huur;1;2019;65;0,05548832
 onderhoud huis en tuin;Alleenstaand;1,5 keer gemiddelde huur;1;2019;23;0,019700051
 niet-vergoede ziektekosten;Alleenstaand;1,5 keer gemiddelde huur;1;2019;38;0,032591299
 vrijetijdsuitgaven;Alleenstaand;1,5 keer gemiddelde huur;1;2019;0;0
RESERVERINGSUITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;1;2019;179;0,152532325
 voeding;Alleenstaand;1,5 keer gemiddelde huur;1;2019;214;0,182722244
 overige huishoudelijke uitgaven;Alleenstaand;1,5 keer gemiddelde huur;1;2019;30;0,025905394
HUISHOUDELIJKE UITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;1;2019;245;0,208627638
OVERSCHOT/TEKORT;Alleenstaand;1,5 keer gemiddelde huur;1;2019;;0
wit1;Alleenstaand;1,5 keer gemiddelde huur;1;2019;;0
wit2;Alleenstaand;1,5 keer gemiddelde huur;1;2019;;0
wit3;Alleenstaand;1,5 keer gemiddelde huur;1;2019;;0
wit4;Alleenstaand;1,5 keer gemiddelde huur;1;2019;;0
TOTAAL INKOMEN;Alleenstaand;1,5 keer gemiddelde huur;2;2019;;0
TOTAAL UITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;2;2019;1.267;0
 huur/hypotheek;Alleenstaand;1,5 keer gemiddelde huur;2;2019;343;0,270751721
 gas;Alleenstaand;1,5 keer gemiddelde huur;2;2019;78;0,061819788
 elektriciteit;Alleenstaand;1,5 keer gemiddelde huur;2;2019;32;0,025580602
 water;Alleenstaand;1,5 keer gemiddelde huur;2;2019;9;0,00727626
 lokale lasten;Alleenstaand;1,5 keer gemiddelde huur;2;2019;44;0,03441012
 telefoon, televisie, internet;Alleenstaand;1,5 keer gemiddelde huur;2;2019;55;0,043423861
 verzekeringen;Alleenstaand;1,5 keer gemiddelde huur;2;2019;170;0,134245524
 onderwijs;Alleenstaand;1,5 keer gemiddelde huur;2;2019;0;0
 kinderopvang;Alleenstaand;1,5 keer gemiddelde huur;2;2019;0;0
 contributies en abonnementen;Alleenstaand;1,5 keer gemiddelde huur;2;2019;21;0,016682658
 vervoer;Alleenstaand;1,5 keer gemiddelde huur;2;2019;24;0,019003861
VASTE LASTEN;Alleenstaand;1,5 keer gemiddelde huur;2;2019;777;0,613194395
 kleding en schoenen;Alleenstaand;1,5 keer gemiddelde huur;2;2019;53;0,041450049
 inventaris;Alleenstaand;1,5 keer gemiddelde huur;2;2019;65;0,051393455
 onderhoud huis en tuin;Alleenstaand;1,5 keer gemiddelde huur;2;2019;23;0,018246248
 niet-vergoede ziektekosten;Alleenstaand;1,5 keer gemiddelde huur;2;2019;38;0,030186163
 vrijetijdsuitgaven;Alleenstaand;1,5 keer gemiddelde huur;2;2019;40;0,031833638
RESERVERINGSUITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;2;2019;219;0,173109554
 voeding;Alleenstaand;1,5 keer gemiddelde huur;2;2019;214;0,169237913
 overige huishoudelijke uitgaven;Alleenstaand;1,5 keer gemiddelde huur;2;2019;56;0,044458138
HUISHOUDELIJKE UITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;2;2019;271;0,213696051
OVERSCHOT/TEKORT;Alleenstaand;1,5 keer gemiddelde huur;2;2019;;0
wit1;Alleenstaand;1,5 keer gemiddelde huur;2;2019;;0
wit2;Alleenstaand;1,5 keer gemiddelde huur;2;2019;;0
wit3;Alleenstaand;1,5 keer gemiddelde huur;2;2019;;0
wit4;Alleenstaand;1,5 keer gemiddelde huur;2;2019;;0
TOTAAL INKOMEN;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;2.000;0
TOTAAL UITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;2.000;0
 huur/hypotheek;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;833;0,41625
 gas;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;82;0,040794661
 elektriciteit;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;34;0,016880549
 water;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;10;0,004801578
 lokale lasten;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;44;0,021791667
 telefoon, televisie, internet;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;62;0,030819001
 verzekeringen;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;177;0,088323947
 onderwijs;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;0;0
 kinderopvang;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;0;0
 contributies en abonnementen;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;35;0,017345918
 vervoer;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;101;0,05068264
VASTE LASTEN;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;1.375;0,687689961
 kleding en schoenen;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;64;0,032114656
 inventaris;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;72;0,035936469
 onderhoud huis en tuin;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;24;0,012159376
 niet-vergoede ziektekosten;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;38;0,019116667
 vrijetijdsuitgaven;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;127;0,063403024
RESERVERINGSUITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;325;0,162730191
 voeding;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;214;0,107177079
 overige huishoudelijke uitgaven;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;85;0,04263466
HUISHOUDELIJKE UITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;300;0,149811739
OVERSCHOT/TEKORT;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;0;0
wit1;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;;0
wit2;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;;0
wit3;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;;0
wit4;Alleenstaand;1,5 keer gemiddelde huur;2000;2019;;0
TOTAAL INKOMEN;Alleenstaand;1,5 keer gemiddelde huur;2250;2019;2.250;0
TOTAAL UITGAVEN;Alleenstaand;1,5 keer gemiddelde huur;2250;2019;2.250;0
 huur/hypotheek;Alleenstaand;1,5 keer gemiddelde huur;2250;2019;869;0,386
 gas;Alleenstaand;1,5 keer gemiddelde huur;2250;2019;84;0,0372158
 elektriciteit;Alleenstaand;1,5 keer gemiddelde huur;2250;2019;35;0,015399641
 water;Alleenstaand;1,5 keer gemiddelde huur;2250;2019;10;0,004380342
 lokale lasten;Alleenstaand;1,5 keer gemiddelde huur;2250;2019;44;0,01937037
 telefoon, televisie, internet;Alleenstaand;1,5 keer gemiddelde huur;2250;2019;66;0,029527898
